origin_zone,total,shour0,shour1,shour2,shour3,shour4,shour5,shour6,shour7,shour8,shour9,shour10,shour11,shour12,shour13,shour14,shour15,shour16,shour17,shour18,shour19,shour20,shour21,shour22,shour23,destination_zone,total,dhour0,dhour1,dhour2,dhour3,dhour4,dhour5,dhour6,dhour7,dhour8,dhour9,dhour10,dhour11,dhour12,dhour13,dhour14,dhour15,dhour16,dhour17,dhour18,dhour19,dhour20,dhour21,dhour22,dhour23
1,138,0,0,0,0,0,4,11,15,13,10,14,7,9,4,8,8,10,6,8,6,4,1,0,0,1,141,0,0,0,0,0,0,5,3,8,13,9,5,8,5,12,14,5,12,6,13,7,6,6,2
2,260,0,0,0,0,2,3,13,17,26,19,17,16,22,20,16,20,16,10,15,13,6,8,0,1,2,283,0,0,0,0,0,0,2,11,16,18,22,19,29,20,12,20,19,23,26,15,13,7,7,3
3,346,0,0,0,0,2,6,10,10,19,23,20,18,23,28,27,26,30,30,23,20,15,9,5,2,3,347,0,0,0,0,0,3,6,16,18,28,22,21,19,32,28,17,23,33,24,17,15,13,6,4
4,24,0,0,0,0,0,1,1,3,3,1,1,3,0,2,1,2,2,1,0,0,2,1,0,0,4,23,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,1,1,2,4,0,2,0
5,48,0,0,0,0,1,1,4,7,5,4,2,4,1,1,4,2,1,4,2,2,1,0,1,1,5,48,0,0,0,0,0,0,2,1,3,3,3,1,5,2,3,2,4,3,8,2,1,3,0,1
6,22,0,0,0,0,0,1,1,2,2,3,2,1,1,1,2,0,1,3,0,1,0,1,0,0,6,17,0,0,0,0,0,0,1,3,0,0,0,2,2,1,0,1,1,1,1,0,4,0,0,0
7,47,0,0,0,0,0,1,2,4,7,4,2,3,6,1,2,1,3,5,1,2,2,1,0,0,7,44,0,0,0,0,0,0,2,2,1,2,5,2,2,5,4,2,2,2,6,2,3,1,0,1
8,93,0,0,0,0,1,1,1,3,3,6,3,8,5,8,10,9,8,10,5,3,3,3,3,0,8,114,0,0,0,0,0,0,4,4,12,5,6,9,14,9,5,10,8,6,7,5,3,2,2,2
9,22,0,0,0,0,0,1,1,0,1,3,1,1,1,1,1,2,4,1,0,1,1,1,1,0,9,22,0,0,0,0,0,0,1,1,1,1,3,2,3,1,0,1,2,2,3,0,0,0,0,1
11,40,0,0,0,0,0,2,2,2,2,0,3,1,2,3,3,3,5,6,3,0,2,0,1,0,11,50,0,0,0,0,0,1,1,2,3,2,0,1,1,3,5,10,1,6,6,2,1,2,2,0
12,161,0,0,0,0,3,10,17,11,16,8,8,11,5,8,8,12,11,7,5,4,6,3,5,3,12,157,0,0,0,0,0,2,5,7,9,5,6,7,5,8,8,12,11,14,12,13,11,10,1,8
13,222,0,0,0,0,1,11,11,22,18,18,10,16,19,9,7,16,16,13,17,4,8,4,1,1,13,232,0,0,0,0,0,0,5,9,11,13,4,16,11,17,17,17,18,25,20,19,12,6,8,3
14,22,0,0,0,0,0,1,2,1,1,0,0,1,1,2,0,3,5,1,1,3,0,0,0,0,14,19,0,0,0,0,0,0,1,2,1,0,3,0,0,2,2,0,2,0,2,1,0,1,1,1
15,11,0,0,0,0,0,1,0,1,1,1,0,0,1,2,0,1,0,2,0,1,0,0,0,0,15,16,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,4,1,2,2,1,1,0
16,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
17,331,0,0,0,0,1,3,5,12,8,17,12,19,24,22,25,27,21,30,32,26,23,19,3,2,17,344,0,0,0,0,0,1,6,11,14,28,17,21,28,24,24,30,33,22,24,28,14,8,8,3
18,119,0,0,0,0,1,1,10,5,8,7,6,5,7,10,11,9,11,7,7,7,3,2,1,1,18,118,0,0,0,0,0,1,6,6,6,9,6,9,7,8,4,9,6,10,7,6,9,3,3,3
19,93,0,0,0,0,0,2,6,7,7,3,5,8,3,5,3,6,11,6,7,5,5,3,1,0,19,86,0,0,0,0,0,2,4,5,5,7,6,8,8,2,4,2,8,10,3,1,5,1,5,0
20,54,0,0,0,0,2,0,1,2,3,1,5,6,2,7,3,5,1,6,2,0,4,2,1,1,20,55,0,0,0,0,0,1,3,5,3,4,2,4,5,3,4,3,5,3,4,0,0,2,1,2
21,55,0,0,0,0,0,1,0,1,4,5,1,6,5,2,5,8,4,1,3,4,3,0,2,0,21,50,0,0,0,0,0,0,2,2,7,2,4,6,2,2,2,4,6,2,3,2,2,0,2,0
22,28,0,0,0,0,1,0,1,0,2,0,1,1,1,1,3,2,6,1,3,2,2,0,0,1,22,27,0,0,0,0,0,1,0,0,3,4,1,3,0,0,5,2,0,2,1,2,0,0,1,2
23,35,0,0,0,0,0,0,1,0,2,3,3,3,1,5,3,2,1,4,4,1,0,0,2,0,23,35,0,0,0,0,0,0,1,2,4,3,3,3,1,4,2,3,0,4,0,4,1,0,0,0
24,57,0,0,0,0,1,0,6,5,3,7,3,4,4,2,3,1,3,5,6,0,1,2,1,0,24,58,0,0,0,0,0,0,0,0,4,2,4,1,4,8,5,2,1,7,3,3,4,3,4,3
25,149,0,0,0,0,1,8,9,10,13,11,3,6,12,9,9,8,9,8,11,8,6,5,3,0,25,151,0,0,0,0,0,1,4,11,6,7,10,9,12,9,12,16,5,5,10,12,8,8,3,2
26,82,0,0,0,0,0,2,5,4,6,3,4,5,7,1,8,6,7,8,5,3,3,4,1,0,26,81,0,0,0,0,0,0,1,3,8,6,3,5,5,6,6,3,7,5,11,4,1,3,4,0
27,208,0,0,0,0,2,6,10,10,14,14,12,11,10,9,12,14,16,25,12,12,4,7,7,1,27,223,0,0,0,0,0,1,3,7,19,13,16,18,14,11,14,17,16,14,17,16,11,11,5,0
28,11,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,4,0,0,0,0,0,0,28,17,0,0,0,0,0,0,0,1,1,1,2,1,2,0,4,1,1,0,0,1,1,0,1,0
29,11,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,2,2,1,0,0,0,0,29,9,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
